序号,文件名,分类,项目名称,文件类型,子类型,页数,章节数,大小(MB),修改时间
1,招标文件(精简版)-2026年银川国芳外墙logo字制作、安装项目6.3.docx,工程类,银川国芳外墙logo字制作安装,招标文件,制作安装,9,7,0.03,2026-06-08 10:42
2,上海松江客整所列车库内保洁服务招标文件HTLF-2025-BJZB006.docx,服务类,上海华铁列车库内保洁服务,招标文件,保洁服务,51,6,0.11,2025-05-22 13:54
3,上海太平康复医院2025-2028年劳务派遣项目采购项目招标文件.docx,服务类,上海太平康复医院劳务派遣,招标文件,劳务派遣,48,5,1.51,2025-10-30 14:42
4,交通银行张江园区餐厅洗碗业务外包项目--竞争性谈判拟发布稿.docx,服务类,交通银行张江园区餐厅洗碗外包,竞争性谈判文件,餐饮后勤,51,6,0.27,2025-06-16 16:56
5,保洁员劳务外包项目公开招标文件（定稿）.docx,服务类,军队采购保洁员劳务外包,招标文件,保洁服务,63,7,0.2,2026-06-30 08:41
6,招标文件正文.pdf,服务类,华润万家第三方灵活用工服务采购,招标文件,灵活用工,79,5,1.86,2024-11-14 15:11
7,【2606029001】上海分行2026年零售业务劳务外包服务人员采购项目招标文件（发布稿）.docx,服务类,厦门国际银行上海分行零售业务劳务外包,招标文件,劳务外包,51,7,0.25,2026-04-30 17:18
8,2024年上海市公安局宝山分局物业管理服务-招标文件.docx,服务类,宝山分局物业管理服务,招标文件,物业管理,54,6,0.25,2024-11-11 17:12
9,宝山区市场监督管理局政府购买服务人员经费招标文件.docx,服务类,宝山市场监督管理局政府购买服务,招标文件,政府购买服务,45,6,0.27,2025-03-21 13:07
10,榆林高新控股集团安全环保管家项目（二次）竞争性磋商文件(1).pdf,服务类,榆林高新控股集团安全环保管家,竞争性磋商文件,环保咨询,76,7,0.84,2026-07-01 09:16
11,招标文件正文.docx,服务类,武钢在线监测设备点检服务采购,招标文件,设备点检,40,6,0.64,2024-12-20 10:47
12,清洗管道招标文件0610(1).pdf,服务类,科桥餐饮食堂脱排油烟管道清洗服务,竞争性磋商文件,清洗服务,51,5,10.03,2026-06-11 15:58
13,招标文件.pdf,服务类,罗店中学食堂劳务派遣服务采购,竞争性磋商文件,劳务派遣,45,5,0.52,2024-12-16 16:53
14,罗泾镇综合管理服务项目（宝山工业园区北园区）招标文件.docx,服务类,罗泾镇综合管理服务（特保）,竞争性磋商文件,综合管理,44,7,0.26,2026-01-09 14:54
15,PCMET-2611YG0122 黄浦海关辅助服务采购项目 招标文件 发售稿.docx,服务类,黄浦海关辅助服务采购,招标文件,海关辅助,56,6,0.58,2026-03-06 13:07
